wdid,facility_name,place_county,facility_region,month,enforcement_count,total_assessment_sum,liability_sum,project_sum
5D157022N01,Kern Oil & Refining Co (AGT),Kern,5F,1995-02-01,1,0.0,0.0,0.0
3 400505307,460 Los Osos Valley Road,San Luis Obispo,3,2007-05-01,1,0.0,0.0,0.0
1B08175CNME,Douglas P. Carter Discharge Site 1 Airport Road,Mendocino,1,2008-11-01,1,0.0,0.0,0.0
3 401110384,Four Vines Winery (Templeton),San Luis Obispo,3,2018-09-01,1,0.0,0.0,0.0
1B83104OHUM,Scotia Town Power Plant,Humboldt,1,2015-06-01,1,0.0,0.0,0.0
6B369107001,Two Lands Treatment Units-East/Ranch,San Bernardino,6B,2001-06-01,1,0.0,0.0,0.0
5D155058N01,AJB Ranch Dairy,Kern,5F,2001-10-01,1,0.0,0.0,0.0
5D161033N01,Hanford Tire Plant,Kings,5F,1998-08-01,1,0.0,0.0,0.0
4WIP1110189,Blacktop Materials Co.,Los Angeles,4,2000-11-01,1,0.0,0.0,0.0
5B20NC00037,Defense Ranch Dairy (Closed),Madera,5F,2016-04-01,1,0.0,0.0,0.0
7A361042012,Twentynine Palms High,San Bernardino,7,2000-01-01,1,0.0,0.0,0.0
3 401062002,MESA MIDDLE SCHOOL Onsite WW Treatment System,San Luis Obispo,3,2005-06-01,1,0.0,0.0,0.0
8 303044N01,San Joaquin Landfill,Orange,8,2001-12-01,1,0.0,0.0,0.0
6A189105N03,"Haley, Russell & Opal",Lassen,6A,1991-07-01,1,0.0,0.0,0.0
5C54NP00009,Visalia MS4 Phase II,Kern,5F,2012-07-01,1,0.0,0.0,0.0
7A132040018,JJ Elmore Geoth. Plant,Imperial,7,2002-09-01,2,0.0,0.0,0.0
5B070102002,Byron Sanitary District WWTF,Contra Costa,5S,2012-02-01,1,0.0,0.0,0.0
5C54NC00176,De Jong Dairy Farms Inc.,Tulare,5F,2015-01-01,1,0.0,0.0,0.0
9 000208N87,Mobil SS,Orange,9,1987-07-01,1,0.0,0.0,0.0
4B196100068,Yukon No. 5,Los Angeles,4,2002-01-01,1,21000.0,21000.0,0.0
7A130105011,Holtville City WWTP,Imperial,7,2001-08-01,1,0.0,0.0,0.0
5B392012001,Manteca WWTF,San Joaquin,5S,2000-04-01,1,0.0,0.0,0.0
7A370121021,Agua Caliente Reg Pk,San Diego,7,2000-01-01,1,0.0,0.0,0.0
5A250300006,Alturas Class III Landfill,Modoc,5R,2001-05-01,1,0.0,0.0,0.0
4WIP1090943,Peter Wald,Los Angeles,4,1994-08-01,1,0.0,0.0,0.0
5B24NC00019,Vieira Dairy Farms,Merced,5S,2014-05-01,1,0.0,0.0,0.0
3 400310001,Cold Canyon Landfill,San Luis Obispo,3,2011-02-01,1,0.0,0.0,0.0
