wdid,facility_name,region,county,theme,theme_count,avg_severity_rank,total_assessment,theme_rank_within_facility
03UT024,"USA Station No. 825, LOP Case",9,,Reporting / SMR failure,1,2.0,0.0,1
03UT024,"USA Station No. 825, LOP Case",9,,Permit conditions,1,2.0,0.0,2
03UT024,"USA Station No. 825, LOP Case",9,,Effluent exceedance,1,2.0,0.0,3
03UT024,"USA Station No. 825, LOP Case",9,,Spill / overflow,1,2.0,0.0,4
1A1SI001NUG,Chevron 9-3476,1,Siskiyou,Groundwater / soil contamination,2,5.0,0.0,1
1A1SI001NUG,Chevron 9-3476,1,Siskiyou,Monitoring deficiency,2,5.0,0.0,2
1A1SI001NUG,Chevron 9-3476,1,Siskiyou,O&M / operations,2,5.0,0.0,3
1A298080TRI,THP 2-98-080 TRI,1,,Reporting / SMR failure,1,2.0,0.0,1
1B00023RSON,Mathy Winery North,1,,Reporting / SMR failure,1,2.0,0.0,1
1B00023RSON,Mathy Winery North,1,,Financial / ACL,1,7.0,25000.0,2
1B00023RSON,Mathy Winery North,1,,Spill / overflow,1,7.0,25000.0,3
1B00024ONTH,Wilson Vineyard,1,Sonoma,Spill / overflow,1,3.0,0.0,1
1B00186NHUM,Bell Property,1,Humboldt,Reporting / SMR failure,1,2.0,0.0,1
1B03178RSON,Former Mani Site,1,Sonoma,Permit conditions,1,5.0,0.0,1
1B03178RSON,Former Mani Site,1,Sonoma,Spill / overflow,1,5.0,0.0,2
1B04165CNSO,Soberg Property (Rios Property),1,,Spill / overflow,1,5.0,0.0,1
1B04165CNSO,Soberg Property (Rios Property),1,,Permit conditions,1,5.0,0.0,2
1B1HU079NUG,Lorenzo's Gas and Grocery,1,Humboldt,Groundwater / soil contamination,1,5.0,0.0,1
1B1HU317NUG,Flying J Gasoline,1,Humboldt,Groundwater / soil contamination,1,5.0,0.0,1
1B1HU317NUG,Flying J Gasoline,1,Humboldt,Spill / overflow,1,5.0,0.0,2
1B80124OSON,Graton Commerce Center,1,Sonoma,Spill / overflow,1,5.0,0.0,1
1B80124OSON,Graton Commerce Center,1,Sonoma,Monitoring deficiency,1,5.0,0.0,2
1B80124OSON,Graton Commerce Center,1,Sonoma,O&M / operations,1,5.0,0.0,3
1B83011OMEN,"Remco Hydraulics, Inc.",1,Mendocino,Spill / overflow,1,5.0,0.0,1
1B94001CNSO,Gleason Dairy,1,Sonoma,Groundwater / soil contamination,1,5.0,0.0,1
1B94001CNSO,Gleason Dairy,1,Sonoma,Spill / overflow,1,5.0,0.0,2
1B94010CNSO,Rancho Laguna,1,Sonoma,Groundwater / soil contamination,1,5.0,0.0,1
1B94010CNSO,Rancho Laguna,1,Sonoma,Spill / overflow,1,5.0,0.0,2
1B99044CNME,Redwood Oil Company Bulk Plant,1,Mendocino,Spill / overflow,1,5.0,0.0,1
1BHU0234NAT,Lewis Logging,1,Humboldt,Reporting / SMR failure,1,2.0,0.0,1
1BHU0234NAT,Lewis Logging,1,Humboldt,Spill / overflow,1,2.0,0.0,2
2 011538M08,"LIVERMORE, CITY OF - MS4 Storm Water",2,,Permit conditions,1,2.0,0.0,1
2 019329N01,Sunol Regional Wilderness,2,Alameda,O&M / operations,1,7.0,37800.0,1
2 019329N01,Sunol Regional Wilderness,2,Alameda,Financial / ACL,1,7.0,37800.0,2
2 07-0126,Erickson Inc,2,,Groundwater / soil contamination,1,2.0,0.0,1
