wdid,facility_name,region,county,place_type,year,ml_risk_score,ml_risk_pct,ml_percentile,total_actions_24mo,avg_severity_24mo,total_outstanding,monetary_rate_24mo,escalation_ratio
3 400108001,California Men's Colony WWTP,3,San Luis Obispo,Wastewater Treatment Facility,2011,0.7513436228539111,75.1,100.0,9,2.1666666666666665,0.0,0.3333333333333333,1.0
5A450001005,Cottonwood WWTP,5R,Shasta,Wastewater Treatment Facility,2017,0.7376877236564705,73.8,99.9,6,3.6,18000.0,0.3333333333333333,1.0
3 420105001,Lompoc City Regional Wastewater Reclamation Plant,3,Santa Barbara,Wastewater Treatment Facility,2011,0.6407496770908021,64.1,99.9,6,2.2,0.0,0.16666666666666666,1.0
4B196000269,Hollywood WQ Improvement Pj.,4,Los Angeles,Facility,2003,0.6326943595010471,63.3,99.8,5,3.8,0.0,0.2,1.0
5A450105001,Shasta Lake WWTF,5R,Shasta,Wastewater Treatment Facility,2017,0.6096660309019968,61.0,99.8,5,3.0,24365.09,0.2,1.0
5B071000001,Holland Riverside Marina,5S,Contra Costa,Marina,2017,0.5976024598301667,59.8,99.7,4,3.3333333333333335,26963.0,0.25,1.0
5A310101001,City of Colfax WWTP,5S,Placer,Wastewater Treatment Facility,2017,0.5963137744976169,59.6,99.6,9,3.888888888888889,12000.0,0.2222222222222222,1.0
7A132210001,Second Imperial Geothermal Facility,7,Imperial,Power Plant,2008,0.5952904888261906,59.5,99.6,7,3.25,0.0,0.2857142857142857,1.0
5A310104007,Placer Cnty SMD No 1 WWTP,5S,Placer,Wastewater Treatment Facility,2017,0.5914517126851381,59.1,99.5,9,4.142857142857143,108000.0,0.2222222222222222,0.5
7A131337001,CA Dept of Corrections Centinela WWTP,7,Imperial,Wastewater Treatment Facility,2012,0.5766389302339886,57.7,99.4,6,3.0,0.0,0.16666666666666666,1.0
5C245024001,P&D Dairy Hearst Road,5S,Merced,Animal Feeding,2015,0.5740938135584971,57.4,99.4,3,4.333333333333333,6500.0,0.3333333333333333,1.0
4B196000540,One Westwood- Douglas Emmett R,4,Los Angeles,Facility,2004,0.5655993410120796,56.6,99.3,3,4.333333333333333,0.0,0.3333333333333333,1.0
7A130100011,Brawley City WWTP,7,Imperial,Wastewater Treatment Facility,2013,0.5649104720133954,56.5,99.3,6,3.25,0.0,0.16666666666666666,1.0
5A047281N01,Jesse M Lange Distributing,5R,Butte,Wastewater Treatment Facility,2007,0.5623482934026776,56.2,99.2,3,4.666666666666667,0.0,0.3333333333333333,1.0
5A570100001,City of Davis WWTP,5S,Yolo,Wastewater Treatment Facility,2017,0.5538305723586747,55.4,99.1,8,4.5,0.0,0.375,1.0
5C16NC00029,"A&A Netto Farms, Inc.",5F,Kings,Animal Feeding,2015,0.523486286406651,52.3,99.1,3,4.333333333333333,0.0,0.3333333333333333,1.0
5C16NC00055,Dairy Goddess Farms,5F,Kings,Animal Feeding,2012,0.5221150183453592,52.2,99.0,3,4.333333333333333,0.0,0.3333333333333333,1.0
5C10NC00102,Former VIP Cattle,5F,Fresno,Animal Feeding,2012,0.5121953011924922,51.2,98.9,5,3.75,3000.0,0.2,1.0
2 417021001,North San Mateo County Sanitation District WWTP,2,San Mateo,Wastewater Treatment Facility,2015,0.5077500516408355,50.8,98.9,4,3.0,0.0,0.25,1.0
4B196800029,Pier A Toe Drain Treatment Sys,4,Los Angeles,Groundwater Cleanup Site,2003,0.4882874411193468,48.8,98.8,3,4.333333333333333,0.0,0.3333333333333333,1.0
4B190107099,"Los Angeles Cnty DPW - Mun Separate Storm Sewer, MS4",4,Los Angeles,MS4,2003,0.47555351118109357,47.6,98.8,17,3.0,0.0,0.0,1.0
5D545016001,Nunes & Sons Dairy #2,5F,Tulare,Animal Feeding,2012,0.46084319090244014,46.1,98.7,4,3.75,0.0,0.25,1.0
4B196000356,Parking Site  A  South,4,Los Angeles,"Service/Commercial Site, NEC",2015,0.4558848420545977,45.6,98.6,3,7.0,0.0,1.0,1.0
7A330105091,Coachella Valley WD WWTP,7,Riverside,Wastewater Treatment Facility,2002,0.4475750956624385,44.8,98.6,4,5.0,0.0,0.75,1.0
7A132050000,Unocal-Residue Proc 89-005,7,Imperial,Facility,2011,0.44577861565083415,44.6,98.5,3,5.0,0.0,1.0,1.0
5B50NC00268,D&A Brasil Facility,5S,Stanislaus,Animal Feeding,2013,0.43666119507434403,43.7,98.4,3,2.6666666666666665,0.0,0.3333333333333333,1.0
