priority_rank,heuristic_score,ml_score,wdid,facility_name,county,region,place_type,why_prioritized,actions_12mo,avg_severity_12mo,outstanding_penalties,current_active_actions
1,72.5,3.9,1B80121OHUM,"College of the Redwoods, POTW",Humboldt,1,Wastewater Treatment Facility,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,3505528.0,1.0
2,65.4,21.0,5A34NP00043,"Sterling Caviar LLC, Elverta",Sacramento,5S,Aquaculture/Hatchery,Recent spike vs 12-month baseline (escalating trend),5.0,3.8,6000.0,0.0
3,64.3,,9SSO10648,City Of Del Mar CS,San Diego,9,Collection_System,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,42500.0,1.0
4,63.6,26.2,5B391078003,Mountain House WWTP,San Joaquin,5S,Wastewater Treatment Facility,High volume of enforcement actions in last 12 months,6.0,3.67,0.0,0.0
5,63.3,9.9,5A310106007,Pleasant Grove WWTP,Placer,5S,Wastewater Treatment Facility,Spiking enforcement rate AND high-severity actions recently,4.0,5.0,0.0,0.0
6,62.8,7.8,5A060103001,Williams WWTP,Colusa,5S,Wastewater Treatment Facility,High volume of enforcement actions in last 12 months,6.0,4.33,252000.0,0.0
7,61.9,12.7,5A580100002,Linda Cnty Water District WWTP,Yuba,5S,Wastewater Treatment Facility,Recent spike vs 12-month baseline (escalating trend),4.0,4.0,21000.0,0.0
8,61.8,39.8,5B390104001,City of Manteca WW Quality Control Facility,San Joaquin,5S,Wastewater Treatment Facility,Recent spike vs 12-month baseline (escalating trend),4.0,4.0,0.0,0.0
9,61.1,42.7,5A290105001,Donner Summit PUD WWTP,Nevada,5S,Wastewater Treatment Facility,Spiking enforcement rate AND high-severity actions recently,3.0,5.67,12000.0,0.0
10,61.1,43.2,5B390100001,Deuel Vocational Institution,San Joaquin,5S,Wastewater Treatment Facility,Spiking enforcement rate AND high-severity actions recently,3.0,5.67,6000.0,0.0
11,60.9,,5B010000001,"Altamont/Resource Recovery Class II & III Landfills,Class II Surface Impoundment",Alameda,5S,Land fill,Recent spike vs 12-month baseline (escalating trend),5.0,2.8,0.0,0.0
12,60.7,11.1,5B070105003,Discovery Bay WWTP,Contra Costa,5S,Wastewater Treatment Facility,Recent spike vs 12-month baseline (escalating trend),4.0,4.0,34500.0,0.0
13,60.0,,2SSO10175,Sam CS,San Mateo,2,Collection_System,High average severity of recent actions,2.0,7.0,300000.0,0.0
14,59.3,13.2,1B83136OHUM,Ferndale City POTW,Humboldt,1,Wastewater Treatment Facility,High average severity of recent actions,2.0,7.0,54500.0,0.0
15,59.3,15.9,4B199000158,Hawthorne Drinking Water Treatment Plant,Los Angeles,4,Water Treatment Plant,High average severity of recent actions,2.0,7.0,0.0,0.0
16,59.1,25.2,4B191106001,"Royal Catering, El Monte",Los Angeles,4,"Service/Commercial Site, NEC",Spiking enforcement rate AND high-severity actions recently,1.0,7.0,0.0,0.0
17,59.1,13.6,7A130112012,Westmorland City WWTP,Imperial,7,Wastewater Treatment Facility,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,16666.0,0.0
18,59.1,,4B197500229,Beverly Atrium,Los Angeles,4,Domestic Site NEC,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,0.0,0.0
19,59.1,,4B196000414,6500 Wilshire,Los Angeles,4,Domestic Site NEC,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,0.0,0.0
20,59.1,11.5,4B196100006,Babylon Apartments,Los Angeles,4,"Residence, NEC",Spiking enforcement rate AND high-severity actions recently,1.0,7.0,0.0,0.0
21,59.1,,4B196000620,8383 Wilshire,Los Angeles,4,Domestic Site NEC,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,0.0,0.0
22,59.1,,2SSO10157,Montara CS,San Mateo,2,Collection_System,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,16050.0,0.0
23,59.0,,3 352000001,Granite Rock Arthur Wilson Quarry,San Benito,3,Sand and Gravel Mining,Spiking enforcement rate AND high-severity actions recently,1.0,7.0,0.0,0.0
24,58.8,,9 000002849,"GW Extraction, Alvarado Hospital Medical Center",San Diego,9,Domestic Site NEC,Recent spike vs 12-month baseline (escalating trend),2.0,4.5,54000.0,1.0
25,58.8,,4B196000350,Gateway East,Los Angeles,4,Domestic Site NEC,High average severity of recent actions,3.0,5.33,0.0,0.0
