priority_rank,priority_score_pct,why_prioritized,wdid,facility_name,county,region,place_type,actions_12mo,avg_severity_12mo,outstanding_penalties,escalation_zscore,current_active_actions,last_action_month,score_recency,score_frequency,score_severity,score_money,score_escalation,score_active
1,72.5,Spiking enforcement rate AND high-severity actions recently,1B80121OHUM,"College of the Redwoods, POTW",Humboldt,1,Wastewater Treatment Facility,1,7.0,3505528.0,0.0,1,2019-02-01,100.0,16.7,100.0,55.6,100.0,100.0
2,65.4,Recent spike vs 12-month baseline (escalating trend),5A34NP00043,"Sterling Caviar LLC, Elverta",Sacramento,5S,Aquaculture/Hatchery,5,3.8,6000.0,-0.33,0,2019-01-01,99.8,83.3,54.3,0.1,87.6,0.0
3,64.3,Spiking enforcement rate AND high-severity actions recently,9SSO10648,City Of Del Mar CS,San Diego,9,Collection_System,1,7.0,42500.0,0.0,1,2019-02-01,100.0,16.7,100.0,0.7,100.0,100.0
4,63.6,High volume of enforcement actions in last 12 months,5B391078003,Mountain House WWTP,San Joaquin,5S,Wastewater Treatment Facility,6,3.67,0.0,-1.83,0,2019-01-01,99.8,100.0,52.4,0.0,31.7,0.0
5,63.3,Spiking enforcement rate AND high-severity actions recently,5A310106007,Pleasant Grove WWTP,Placer,5S,Wastewater Treatment Facility,4,5.0,0.0,-0.67,0,2018-11-01,99.4,66.7,71.4,0.0,75.2,0.0
6,62.8,High volume of enforcement actions in last 12 months,5A060103001,Williams WWTP,Colusa,5S,Wastewater Treatment Facility,6,4.33,252000.0,-2.68,0,2018-10-01,99.2,100.0,61.9,4.0,0.0,0.0
7,61.9,Recent spike vs 12-month baseline (escalating trend),5A580100002,Linda Cnty Water District WWTP,Yuba,5S,Wastewater Treatment Facility,4,4.0,21000.0,-0.33,0,2019-01-01,99.8,66.7,57.1,0.3,87.6,0.0
8,61.8,Recent spike vs 12-month baseline (escalating trend),5B390104001,City of Manteca WW Quality Control Facility,San Joaquin,5S,Wastewater Treatment Facility,4,4.0,0.0,-0.33,0,2019-01-01,99.8,66.7,57.1,0.0,87.6,0.0
9,61.1,Spiking enforcement rate AND high-severity actions recently,5A290105001,Donner Summit PUD WWTP,Nevada,5S,Wastewater Treatment Facility,3,5.67,12000.0,-0.67,0,2018-12-01,99.6,50.0,81.0,0.2,75.2,0.0
10,61.1,Spiking enforcement rate AND high-severity actions recently,5B390100001,Deuel Vocational Institution,San Joaquin,5S,Wastewater Treatment Facility,3,5.67,6000.0,-0.67,0,2018-12-01,99.6,50.0,81.0,0.1,75.2,0.0
11,60.9,Recent spike vs 12-month baseline (escalating trend),5B010000001,"Altamont/Resource Recovery Class II & III Landfills,Class II Surface Impoundment",Alameda,5S,Land fill,5,2.8,0.0,-0.78,0,2019-02-01,100.0,83.3,40.0,0.0,71.0,0.0
12,60.7,Recent spike vs 12-month baseline (escalating trend),5B070105003,Discovery Bay WWTP,Contra Costa,5S,Wastewater Treatment Facility,4,4.0,34500.0,-0.67,0,2019-02-01,100.0,66.7,57.1,0.5,75.2,0.0
13,60.0,High average severity of recent actions,2SSO10175,Sam CS,San Mateo,2,Collection_System,2,7.0,300000.0,-1.0,0,2018-08-01,98.8,33.3,100.0,4.8,62.7,0.0
14,59.3,High average severity of recent actions,1B83136OHUM,Ferndale City POTW,Humboldt,1,Wastewater Treatment Facility,2,7.0,54500.0,-1.0,0,2018-05-01,98.2,33.3,100.0,0.9,62.7,0.0
15,59.3,High average severity of recent actions,4B199000158,Hawthorne Drinking Water Treatment Plant,Los Angeles,4,Water Treatment Plant,2,7.0,0.0,-1.0,0,2018-07-01,98.6,33.3,100.0,0.0,62.7,0.0
16,59.1,Spiking enforcement rate AND high-severity actions recently,4B191106001,"Royal Catering, El Monte",Los Angeles,4,"Service/Commercial Site, NEC",1,7.0,0.0,0.0,0,2019-01-01,99.8,16.7,100.0,0.0,100.0,0.0
17,59.1,Spiking enforcement rate AND high-severity actions recently,7A130112012,Westmorland City WWTP,Imperial,7,Wastewater Treatment Facility,1,7.0,16666.0,0.0,0,2018-12-01,99.6,16.7,100.0,0.3,100.0,0.0
20,59.1,Spiking enforcement rate AND high-severity actions recently,4B196100006,Babylon Apartments,Los Angeles,4,"Residence, NEC",1,7.0,0.0,0.0,0,2018-12-01,99.6,16.7,100.0,0.0,100.0,0.0
19,59.1,Spiking enforcement rate AND high-severity actions recently,4B196000414,6500 Wilshire,Los Angeles,4,Domestic Site NEC,1,7.0,0.0,0.0,0,2018-12-01,99.6,16.7,100.0,0.0,100.0,0.0
21,59.1,Spiking enforcement rate AND high-severity actions recently,4B196000620,8383 Wilshire,Los Angeles,4,Domestic Site NEC,1,7.0,0.0,0.0,0,2018-12-01,99.6,16.7,100.0,0.0,100.0,0.0
18,59.1,Spiking enforcement rate AND high-severity actions recently,4B197500229,Beverly Atrium,Los Angeles,4,Domestic Site NEC,1,7.0,0.0,0.0,0,2018-12-01,99.6,16.7,100.0,0.0,100.0,0.0
22,59.1,Spiking enforcement rate AND high-severity actions recently,2SSO10157,Montara CS,San Mateo,2,Collection_System,1,7.0,16050.0,0.0,0,2018-11-01,99.4,16.7,100.0,0.3,100.0,0.0
23,59.0,Spiking enforcement rate AND high-severity actions recently,3 352000001,Granite Rock Arthur Wilson Quarry,San Benito,3,Sand and Gravel Mining,1,7.0,0.0,0.0,0,2018-11-01,99.4,16.7,100.0,0.0,100.0,0.0
24,58.8,Recent spike vs 12-month baseline (escalating trend),9 000002849,"GW Extraction, Alvarado Hospital Medical Center",San Diego,9,Domestic Site NEC,2,4.5,54000.0,-0.67,1,2019-02-01,100.0,33.3,64.3,0.9,75.2,100.0
25,58.8,High average severity of recent actions,4B196000350,Gateway East,Los Angeles,4,Domestic Site NEC,3,5.33,0.0,-1.0,0,2018-10-01,99.2,50.0,76.2,0.0,62.7,0.0
